date,capacity
2020/3/6,526
2020/3/7,
2020/3/8,
2020/3/9,
2020/3/10,
2020/3/11,
2020/3/12,
2020/3/13,
2020/3/14,
2020/3/15,
2020/3/16,
2020/3/17,
2020/3/18,
2020/3/19,
2020/3/20,
2020/3/21,
2020/3/22,
2020/3/23,
2020/3/24,
2020/3/25,
2020/3/26,
2020/3/27,
2020/3/28,
2020/3/29,
2020/3/30,
2020/3/31,
2020/4/1,
2020/4/2,
2020/4/3,
2020/4/4,
2020/4/5,926
2020/4/6,937
2020/4/7,959
2020/4/8,976
2020/4/9,1001
2020/4/10,1023
2020/4/11,1040
2020/4/12,1039
2020/4/13,1046
2020/4/14,1064
2020/4/15,1077
2020/4/16,1072
2020/4/17,
2020/4/18,
2020/4/19,1098
2020/4/20,1125
2020/4/21,1130
2020/4/22,1131
2020/4/23,1131
2020/4/24,
2020/4/25,
2020/4/26,1073
2020/4/27,1085
2020/4/28,1096
2020/4/29,
2020/4/30,
2020/5/1,
2020/5/2,
2020/5/3,1050
2020/5/4,1053
2020/5/5,1060
2020/5/6,
2020/5/7,1039
2020/5/8,
2020/5/9,
2020/5/10,1002
2020/5/11,
2020/5/12,1013
2020/5/13,1003
2020/5/14,
2020/5/15,
2020/5/16,
2020/5/17,948
2020/5/18,
2020/5/19,
2020/5/20,
2020/5/21,
2020/5/22,
2020/5/23,
2020/5/24,900
2020/5/25,
2020/5/26,886
2020/5/27,880
2020/5/28,
2020/5/29,
2020/5/30,
2020/5/31,823
2020/6/1,835
2020/6/2,838
2020/6/3,
2020/6/4,
2020/6/5,
2020/6/6,
2020/6/7,733
2020/6/8,738
2020/6/9,
2020/6/10,763
2020/6/11,751
2020/6/12,741
2020/6/13,733
2020/6/14,724
2020/6/15,701
2020/6/16,690
2020/6/17,680
2020/6/18,671
2020/6/19,660
2020/6/20,657
2020/6/21,652
2020/6/22,649
2020/6/23,
2020/6/24,645
2020/6/25,
2020/6/26,
2020/6/27,
2020/6/28,
2020/6/29,629
2020/6/30,
2020/7/1,624
2020/7/2,
2020/7/3,
2020/7/4,
2020/7/5,
2020/7/6,613
2020/7/7,
2020/7/8,
2020/7/9,
2020/7/10,
2020/7/11,
2020/7/12,
2020/7/13,
2020/7/14,
2020/7/15,
2020/7/16,
2020/7/17,
2020/7/18,
2020/7/19,
2020/7/20,
2020/7/21,
2020/7/22,
2020/7/23,
2020/7/24,
2020/7/25,
2020/7/26,
2020/7/27,
2020/7/28,
2020/7/29,551
2020/7/30,
2020/7/31,
2020/8/1,
2020/8/2,
2020/8/3,
2020/8/4,
2020/8/5,
2020/8/6,
2020/8/7,
2020/8/8,
2020/8/9,
2020/8/10,
2020/8/11,
2020/8/12,527
2020/8/13,
2020/8/14,
2020/8/15,
2020/8/16,
2020/8/17,
2020/8/18,
2020/8/19,
2020/8/20,
2020/8/21,
2020/8/22,
2020/8/23,
2020/8/24,
2020/8/25,
2020/8/26,
2020/8/27,
2020/8/28,
2020/8/29,
2020/8/30,
2020/8/31,
2020/9/1,
2020/9/2,
2020/9/3,
2020/9/4,
2020/9/5,
2020/9/6,
2020/9/7,
2020/9/8,
2020/9/9,
2020/9/10,
2020/9/11,
2020/9/12,
2020/9/13,
2020/9/14,
2020/9/15,527
2020/9/16,
2020/9/17,
2020/9/18,
2020/9/19,
2020/9/20,
2020/9/21,
2020/9/22,531
2020/9/23,
2020/9/24,
2020/9/25,
2020/9/26,
2020/9/27,
2020/9/28,
2020/9/29,
2020/9/30,
2020/10/1,
2020/10/2,
2020/10/3,
2020/10/4,
2020/10/5,
2020/10/6,528
2020/10/7,
2020/10/8,
2020/10/9,
2020/10/10,
2020/10/11,
2020/10/12,
2020/10/13,524
2020/10/14,
2020/10/15,
2020/10/16,
2020/10/17,
2020/10/18,
2020/10/19,
2020/10/20,
2020/10/21,
2020/10/22,
2020/10/23,
2020/10/24,
2020/10/25,
2020/10/26,
2020/10/27,523
2020/10/28,
2020/10/29,
2020/10/30,
2020/10/31,
2020/11/1,
2020/11/2,
2020/11/3,
2020/11/4,529
2020/11/5,
2020/11/6,
2020/11/7,
2020/11/8,
2020/11/9,547
2020/11/10,
2020/11/11,558
2020/11/12,
2020/11/13,
2020/11/14,
2020/11/15,
2020/11/16,585
2020/11/17,
2020/11/18,610
2020/11/19,
2020/11/20,
2020/11/21,
2020/11/22,
2020/11/23,624
2020/11/24,
2020/11/25,
2020/11/26,
2020/11/27,
2020/11/28,
2020/11/29,
2020/11/30,666
2020/12/1,
2020/12/2,673
2020/12/3,
2020/12/4,
2020/12/5,
2020/12/6,
2020/12/7,671
2020/12/8,
2020/12/9,673
2020/12/10,
2020/12/11,
2020/12/12,
2020/12/13,
2020/12/14,
2020/12/15,
2020/12/16,685
2020/12/17,
2020/12/18,
2020/12/19,
2020/12/20,
2020/12/21,
2020/12/22,
2020/12/23,696
2020/12/24,
2020/12/25,
2020/12/26,
2020/12/27,
2020/12/28,697
2020/12/29,
2020/12/30,709
2020/12/31,
2021/1/1,
2021/1/2,
2021/1/3,
2021/1/4,
2021/1/5,
2021/1/6,
2021/1/7,
2021/1/8,
2021/1/9,
2021/1/10,
